V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Convexity-sum,Convexity-weightedAvg,Convexity-weightedStdDev,Risk-sum,Risk-weightedAvg,Risk-weightedStdDev,Authority-sum,Authority-weightedAvg,Authority-weightedStdDev,workerId,attn_check_num_mistakes,attn_check_percent_correct,attn_check_exclude,attn_check_img_num,attn_check_correct_response,Q9,Q47,Convexity_1,Convexity_2,Convexity_3,Convexity_4,Convexity_5,Convexity_6,Convexity_7,Convexity_8,Convexity_9,Convexity_10,Convexity_11,Risk_1,Risk_2,Risk_3,Risk_4,Risk_5,Authoritarianism_1,Authoritarianism_2,Authoritarianism_3,Authoritarianism_4,Authoritarianism_6,REI_1,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_33,REI_34,REI_35,REI_36,REI_37,REI_38,REI_39,REI_40,REI_41,REI_42,REI_43,individualism_1,individualism_2,individualism_3,individualism_4,individualism_5,individualism_6,individualism_7,individualism_8,individualism_9,individualism_10,individualism_11,individualism_12,individualism_13,individualism_14,individualism_15,individualism_16,Q19,sex,age,race_1,race_2,race_3,race_4,race_10,race_11,race_12,edu,income,country,zip,neighborhood_current,neighborhood_growup,rel,pol_party,social_cons,econ_cons,survey_count,LocationLatitude,LocationLongitude,LocationAccuracy
R_2s4Kqwq9vGJjkx4,,Anonymous,,,97.115.189.252,0,7/6/20 20:47,7/6/20 20:52,1,10,1,1.490711985,3,0.6,0.547722558,0,0,0,A1OBB3PWYWK9KK,0,100,0,1,Wonder an unable except better stairs do admire. So moreover as speedily differed branched ignorant!,1,Wonder an unable except better stairs do admire. So moreover as speedily differed branched ignorant!,1,-1,2,3,1,-2,1,-2,1,-2,-2,1,0,1,1,0,0,1,0,0,1,-3,2,-3,-3,-2,-2,-2,-2,3,1,-1,-1,3,1,-3,1,-1,-1,-3,3,-3,-3,3,-3,-3,2,-3,-3,-3,2,-3,-3,3,3,2,3,1,-1,3,3,0,2,2,3,1,-2,-3,-1,1,2,3,2,-3,-2,-2,-1,3,1,1,28,,,,1,,,,5,3,1,97202,1,2,1,3,-2,-2,10000,45.48039246,-122.5890961,-1
R_32LqzpuL4aST0Lm,,Anonymous,,,98.216.225.21,0,7/6/20 20:47,7/6/20 20:52,1,15,1.5,0.849836586,2,0.4,0.547722558,0,0,0,A3RVHUY67SVXQV,1,99.13793103,0,15,"Discovered interested, prosperous the our affronting day. Use shy seemed within twenty wished old few regret passed!",1,"Discovered interested, prosperous the our affronting day. Use shy seemed within twenty wished old few regret passed.",1,-1,2,-3,1,-2,2,-2,0,-1,-2,0,0,0,1,1,0,1,0,0,1,2,-2,2,2,2,2,2,3,-1,-2,2,-2,0,-2,2,0,-1,2,1,0,-1,-2,3,-2,-2,2,-2,2,-2,2,-2,-2,3,0,3,2,0,-2,3,3,0,3,3,3,1,0,-1,1,1,1,1,1,0,0,0,0,3,1,1,32,,,,1,,,,5,4,1,2359,2,2,7,3,-3,-3,6500,42.05810547,-70.80770111,-1
R_2EpfdB3msoPaZRy,,Anonymous,,,100.14.182.178,0,7/6/20 20:47,7/6/20 20:52,1,-27,-2.7,0.483045892,2,0.4,0.547722558,0,0,0,A2SL8R5B6QX4Q0,103,0.961538462,1,10,"Hand two, was eat busy fail? Be acceptance at precaution astonished excellence thoroughly is entreaties!",1,"Hand two, was eat busy fail! Be acceptance at precaution astonished excellence thoroughly is entreaties?",-3,3,-3,3,-3,2,-3,2,-2,3,-2,0,1,1,1,1,0,1,0,0,1,-2,1,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,2,-2,3,1,-2,-2,2,-2,-2,2,-2,-2,2,-2,-2,-1,2,-2,-1,0,2,2,3,2,-3,2,1,0,2,2,2,-3,-3,-2,-3,-3,-1,-3,3,-1,-3,-2,1,-2,1,0,39,,,,1,,,,5,7,1,19422,2,2,1,3,-2,-2,10000,40.12150574,-75.32689667,-1
R_2D7uEWm6VSQhsuy,,Anonymous,,,75.191.242.86,0,7/6/20 20:46,7/6/20 20:52,1,0,0,0,2,0.4,0.547722558,0,0,0,A21UA6O7ZFAIQJ,12,90.24390244,1,14,We seeing piqued garden he! Folly was these three and songs arose whose in vicinity contempt together in possible branched!,1,We see piqued garden he! Folly was these three and songs arose whose in vicinity contempt in possible branched!,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,1,0,1,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0,3,3,2,0,2,0,-2,0,2,-3,-2,2,-2,-2,1,-2,-2,-3,0,0,-1,0,2,1,2,3,-2,3,3,0,3,3,3,-3,-3,0,-3,-3,-3,-3,0,-3,-3,-3,0,3,1,0,37,,,,1,,,,5,4,1,27403,1,3,4,0,1,1,31000,36.03219604,-79.8588028,-1
R_T6nDPHwbiXJsJ0J,,Anonymous,,,184.57.164.219,0,7/6/20 20:49,7/6/20 20:53,1,-17,-1.7,1.33749351,2,0.4,0.547722558,0,0,0,A1E77HZO63E334,2,97.91666667,0,6,"Rose you wife, how set lady half wish? Welcomed stronger if steepest an suitable finished of oh!",1,"Rose you wife, how set lady half wish! Welcomed stronger if steepest an suitable finished of oh?",-3,0,-3,0,-3,2,-3,0,-2,1,-2,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,-1,1,-1,0,0,0,0,0,2,-1,-2,-1,3,-2,3,-1,-1,-2,1,2,1,2,-2,0,1,1,2,-2,0,1,0,1,0,-2,0,0,1,1,0,2,0,1,1,2,1,1,0,26,,,,1,,,,5,3,1,45429,2,2,1,1,-1,-1,1000,39.68229675,-84.15940094,-1
R_1riV3FXtaPWWwKa,,Anonymous,,,71.59.101.142,0,7/6/20 20:47,7/6/20 20:53,1,0,0,0,0,0,0,5,1,0,AKMIORNF40ST7,37,62.62626263,1,12,"Consider, no my am overcame yourself throwing sociable children. My solid by stuff first smile fan!",1,"Consider, no my am overcame yourself throwing sociabke children. Humoured how advanced miss elegance sir who.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,3,3,3,3,3,3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,-3,0,3,0,3,3,0,3,3,3,3,3,3,3,3,1,0,44,,,,1,,,,2,8,1,19438,2,2,4,0,1,1,4,40.02960205,-74.88339996,-1
R_2pQe5uOV8VowSd6,,Anonymous,,,68.184.93.93,0,7/6/20 20:47,7/6/20 20:53,1,18,1.8,1.813529401,2,0.4,0.547722558,3,0.6,0.547722558,APBHQBDV6WMGZ,2,98.41269841,0,20,Thoroughly estimating introduced stimulated why but motionless? As departure at no propriety zealously dear rent if girl view!,1,Thoroughly estimating introduced stimulated why but motionless! As departure at no propriety zealously dear rent if girl view?,2,-3,1,-2,2,-3,2,-3,-3,-3,-2,0,1,1,0,0,1,1,1,0,0,-2,-3,-1,-3,-3,-1,1,1,-1,3,-3,3,3,1,0,3,-3,-1,-1,1,-3,-3,3,-3,-3,3,-3,-3,-3,2,-3,-2,3,3,3,3,3,-3,3,3,0,3,2,1,3,2,3,2,-2,2,3,3,0,1,-3,-1,1,1,1,49,,,,1,,,,6,10,1,30318,2,3,1,-2,2,2,2000,33.87750244,-84.50170135,-1
R_UnHRRAp3DyxhVoR,,Anonymous,,,107.77.207.154,0,7/6/20 20:46,7/6/20 20:53,1,-16,-1.6,1.349897115,1,0.2,0.447213595,1,0.2,0.447213595,ALKQPW0O9C98N,0,100,0,12,"Consider, no my am overcame yourself throwing sociable children. My solid by stuff first smile fan!",1,"Consider, no my am overcame yourself throwing sociable children. My solid by stuff first smile fan!",-3,0,-3,3,-1,1,-2,0,-3,0,-2,0,1,1,1,0,0,1,0,0,0,-1,0,-1,-1,1,0,0,0,2,1,0,1,1,-1,-2,2,1,-1,1,1,-2,-1,2,-1,-1,2,-2,-1,-1,1,-1,1,1,1,2,0,1,-1,1,2,0,2,0,2,2,-1,2,1,-3,1,-3,1,0,1,0,0,3,1,1,47,,,,1,,,,5,1,1,55024,3,2,1,1,-2,2,2000,41.84860229,-87.62879944,-1
R_2ruoP3vGKk8LVls,,Anonymous,,,24.216.68.188,0,7/6/20 20:47,7/6/20 20:53,1,7,0.7,0.823272602,2,0.4,0.547722558,0,0,0,A173A97OFDAX9F,0,100,0,7,"Continuing no simplicity, no favourable on reasonable estimating. What near kept met call old west dine!",1,"Continuing no simplicity, no favourable on reasonable estimating. What near kept met call old west dine!",0,-1,1,0,1,-1,1,-2,-1,-1,0,1,0,0,1,0,0,1,0,0,1,0,-2,0,0,1,-1,0,0,-1,-1,0,1,1,1,1,1,-2,0,1,0,-2,-3,2,-2,-2,2,-2,-2,-2,2,-2,-2,1,2,2,3,1,-2,2,3,0,0,-1,0,1,-1,0,-2,1,1,1,1,1,1,2,2,3,1,1,25,,1,,,,,,5,9,1,63109,1,2,3,1,-2,-1,500,38.64329529,-90.25749969,-1
R_2pXh2JB8XeDC8Hi,,Anonymous,,,99.56.2.109,0,7/6/20 20:46,7/6/20 20:53,1,12,1.2,2.250925735,2,0.4,0.547722558,2,0.4,0.547722558,A34CPKFZXBX1PO,31,67.70833333,1,6,"Rose you wife, how set lady half wish? Welcomed stronger if steepest an suitable finished of oh!",1,Hard sing an in true felt. Welcomed stronger if steepest an suitable finished of oh!,2,-2,2,3,2,-3,2,-3,-3,-2,-2,1,0,0,1,0,1,0,0,0,1,0,-2,0,1,1,-1,0,-1,1,1,2,1,0,1,-1,-1,-2,0,2,1,-3,-2,2,-1,-2,3,-2,-2,-2,2,-3,0,3,1,1,3,1,-3,0,3,0,3,3,2,3,1,3,2,2,2,1,2,2,3,2,2,3,1,1,21,,1,,,,,,5,5,1,30097,2,2,5,3,-3,-3,4000,33.97329712,-84.22309875,-1
R_3G1bvy2QGc5qSUt,,Anonymous,,,73.64.48.233,0,7/6/20 20:46,7/6/20 20:53,1,0,0,1.763834207,2,0.4,0.547722558,2,0.4,0.547722558,AA9A1N3MLWMNF,44,54.16666667,1,6,"Rose you wife, how set lady half wish? Welcomed stronger if steepest an suitable finished of oh!",1,"Rose you wife, how set lady half wish! Entered at excited at forming between so produce.",-1,2,2,1,1,-2,1,-2,-2,2,-2,0,1,1,0,0,0,0,1,0,1,1,0,2,3,2,2,2,1,-2,1,1,-1,-1,-1,1,1,-1,0,-1,-1,1,-1,1,-1,-1,2,0,2,0,0,0,-1,1,1,2,1,2,2,3,1,0,2,1,2,2,3,3,1,0,0,1,1,1,1,1,1,1,1,0,20,,,,1,,,,2,1,1,17331,2,2,2,0,1,1,2000,39.79510498,-76.97940063,-1
R_1BQP6b7jwlCrd0D,,Anonymous,,,108.35.35.221,0,7/6/20 20:46,7/6/20 20:53,1,-4,-0.4,1.173787791,1,0.2,0.447213595,4,0.8,0.447213595,A324M5ZRHX7RUV,0,100,0,20,Thoroughly estimating introduced stimulated why but motionless? As departure at no propriety zealously dear rent if girl view!,1,Thoroughly estimating introduced stimulated why but motionless? As departure at no propriety zealously dear rent if girl view!,0,-1,1,2,-1,-1,-1,1,-2,0,-2,0,0,0,1,0,1,0,0,1,0,2,-1,1,1,2,1,2,2,-1,-1,3,-2,-2,-2,1,-2,-1,2,2,1,2,-1,2,-1,2,1,-1,-1,-1,0,-1,2,1,1,1,1,1,1,2,2,0,1,1,2,1,-1,1,1,2,1,1,2,2,2,3,2,2,1,1,26,,,,1,,,,5,10,1,7648,2,2,5,0,-1,2,11000,40.97349548,-73.96070099,-1
